@relation wine-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0-V

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality numeric

@data
7,0.15,0.29,16.4,0.058,45,110,0.9978,3.15,0.37,9.7,6
6.6,0.43,0.24,11.9,0.04,54,159,0.99622,3.14,0.54,9.8,6
7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6
7.1,0.33,0.3,3.3,0.034,30,102,0.9912,3.08,0.31,12.3,7
6.5,0.16,0.33,1,0.027,23,75,0.9908,3.3,0.39,11.4,7
6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7
7.1,0.55,0.13,1.7,0.073,21,165,0.994,2.97,0.58,9.2,6
6.8,0.32,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6,4
6.7,0.13,0.45,4.2,0.043,52,131,0.99162,3.06,0.54,11.3,6
6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,7
7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6
5.9,0.24,0.34,2,0.037,40,108,0.98948,3.19,0.5,12.3,6
6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1,4
7.2,0.23,0.46,6.4,0.036,17,85,0.99279,3.1,0.78,11.7,6
6.6,0.32,0.33,2.5,0.052,40,219.5,0.99316,3.15,0.6,10,5
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8
7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6
7.3,0.22,0.49,9.9,0.031,48,161,0.9937,3.01,0.28,11.2,6
6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,5
7.5,0.28,0.34,4.2,0.028,36,116,0.991,2.99,0.41,12.3,8
6.1,0.16,0.37,1.1,0.031,37,97,0.9922,3.4,0.58,10.5,6
7.5,0.28,0.39,10.2,0.045,59,209,0.9972,3.16,0.63,9.6,6
7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7
5.4,0.17,0.27,2.7,0.049,28,104,0.99224,3.46,0.55,10.3,6
8.2,0.34,0.29,5.2,0.076,19,92,0.99138,2.95,0.39,12.5,6
9.2,0.23,0.35,10.7,0.037,34,145,0.9981,3.09,0.32,9.7,5
5.8,0.32,0.31,2.7,0.049,25,153,0.99067,3.44,0.73,12.2,7
6.2,0.3,0.26,13.4,0.046,57,206,0.99775,3.17,0.43,9.5,6
5.4,0.33,0.31,4,0.03,27,108,0.99031,3.3,0.43,12.2,7
5,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,6
6,0.13,0.36,1.6,0.052,23,72,0.98974,3.1,0.5,11.5,7
5.8,0.25,0.28,11.1,0.056,45,175,0.99755,3.42,0.43,9.5,5
5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,7
6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,5
6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7
6.7,0.26,0.26,4,0.079,35.5,216,0.9956,3.31,0.68,9.5,5
7.7,0.39,0.49,7.7,0.036,11,110,0.9966,3.33,0.76,10,6
7.4,0.36,0.23,1.9,0.017,31,69,0.9892,2.93,0.36,12.5,6
5.4,0.22,0.29,1.2,0.045,69,152,0.99178,3.76,0.63,11,7
7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3,5
7.6,0.16,0.41,1.9,0.047,27,151,0.9937,3.2,0.53,10.1,6
7.7,0.42,0.31,9.2,0.048,22,221,0.9969,3.06,0.61,9.2,6
8.2,0.26,0.44,1.3,0.046,7,69,0.9944,3.14,0.62,10.2,4
6.6,0.27,0.3,1.9,0.025,14,153,0.9928,3.29,0.62,10.5,6
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
7,0.31,0.31,9.1,0.036,45,140,0.99216,2.98,0.31,12,7
7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2,5
6.6,0.22,0.37,1.2,0.059,45,199,0.993,3.37,0.55,10.3,7
6.6,0.54,0.21,16.3,0.055,41,182,0.9986,3.35,0.54,10.4,6
7.1,0.15,0.34,1,0.033,27,73,0.98974,3.24,0.41,12.2,6
6,0.22,0.25,11.1,0.056,112,177,0.9961,3.08,0.36,9.4,6
7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
9.2,0.34,0.54,17.3,0.06,46,235,1.00182,3.08,0.61,8.8,6
5.4,0.255,0.33,1.2,0.051,29,122,0.99048,3.37,0.66,11.3,6
7.4,0.26,0.31,2.4,0.043,58,178,0.9941,3.42,0.68,10.6,6
6.8,0.18,0.32,7.2,0.047,17,109,0.99498,3.42,0.44,10.4,6
5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6
9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,4
6.5,0.41,0.64,11.8,0.065,65,225,0.9978,3.12,0.51,8.9,5
6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,5
6.8,0.15,0.41,12.9,0.044,79.5,182,0.99742,3.24,0.78,10.2,6
6.8,0.32,0.3,3.3,0.029,15,80,0.99061,3.33,0.63,12.6,7
6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,6
6.5,0.23,0.38,1.3,0.032,29,112,0.99298,3.29,0.54,9.7,5
6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,5
6.5,0.36,0.49,2.9,0.03,16,94,0.9902,3.1,0.49,12.1,7
7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,7
6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,6
6,0.39,0.17,12,0.046,65,246,0.9976,3.15,0.38,9,6
7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6
7.4,0.33,0.26,2.6,0.04,29,115,0.9913,3.07,0.52,11.8,7
8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,6
5.9,0.26,0.25,12.5,0.034,38,152,0.9977,3.33,0.43,9.4,5
7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6
6.4,0.38,0.19,4.5,0.038,36,119,0.99151,3.07,0.42,11.2,6
7.9,0.22,0.38,8,0.043,46,152,0.9934,3.12,0.32,11.5,7
7.3,0.41,0.29,1.8,0.032,26,74,0.98889,2.96,0.35,13,8
6.4,0.31,0.53,8.8,0.057,36,221,0.99642,3.17,0.44,9.1,5
6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5
4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8,5
6.2,0.28,0.51,7.9,0.056,49,206,0.9956,3.18,0.52,9.4,5
7.2,0.32,0.33,1.4,0.029,29,109,0.9902,3.15,0.51,12.8,7
6.6,0.17,0.3,1.1,0.031,13,73,0.99095,3.17,0.58,11,6
7.1,0.21,0.32,2.2,0.037,28,141,0.993,3.2,0.57,10,7
7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,6
8.9,0.26,0.33,8.1,0.024,47,202,0.99558,3.13,0.46,10.8,6
8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5
6,0.25,0.4,5.7,0.052,56,152,0.99398,3.16,0.88,10.5,6
9.4,0.29,0.55,2.2,0.05,17,119,0.9962,3.12,0.69,10.3,4
7.1,0.42,0.2,2.8,0.038,28,109,0.98968,3.23,0.47,13.4,6
7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4,6
7.6,0.18,0.28,7.1,0.041,29,110,0.99652,3.2,0.42,9.2,6
6.5,0.38,0.53,1.4,0.142,5,69,0.9926,3.14,0.52,10.1,4
6.5,0.19,0.1,1.3,0.046,23,107,0.9937,3.29,0.45,10,5
6.5,0.3,0.29,2.25,0.037,8,210,0.9937,3.19,0.62,9.9,5
8,0.26,0.28,4.8,0.05,34,150,0.99437,3.13,0.5,10,6
6.2,0.3,0.49,11.2,0.058,68,215,0.99656,3.19,0.6,9.4,6
6.5,0.28,0.34,4.6,0.054,22,130,0.99193,3.2,0.46,12,7
6,0.39,0.26,2.7,0.038,39,187,0.99325,3.41,0.5,10.8,6
6.7,0.45,0.3,5.3,0.036,27,165,0.99122,3.12,0.46,12.2,6
5.9,0.34,0.22,2.4,0.03,19,135,0.9894,3.41,0.78,13.9,7
7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6
7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6
7.1,0.49,0.22,2,0.047,146.5,307.5,0.9924,3.24,0.37,11,3
6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6
6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4,5
7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6
7,0.21,0.34,8,0.057,19,101,0.9954,2.99,0.59,9.4,5
7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
6.6,0.23,0.27,5.6,0.043,43,164,0.9953,3.27,0.76,9.5,5
8.5,0.21,0.41,4.3,0.036,24,99,0.9947,3.18,0.53,9.7,6
7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,6
8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8,4
7.1,0.36,0.24,1.8,0.025,32,102,0.9903,3.34,0.59,12.8,6
5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,6
7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5
6.4,0.33,0.44,8.9,0.055,52,164,0.99488,3.1,0.48,9.6,5
6.8,0.22,0.49,0.9,0.052,26,128,0.991,3.25,0.35,11.4,6
6.4,0.32,0.27,4.9,0.034,18,122,0.9916,3.36,0.71,12.5,6
8.1,0.17,0.21,1.6,0.036,24,119,0.99396,3.18,0.52,10.1,6
6.6,0.34,0.24,3.3,0.034,29,99,0.99031,3.1,0.4,12.3,7
6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,6
6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.533333,6
8.2,0.23,0.49,0.9,0.057,15,73,0.9928,3.07,0.38,10.4,6
5.6,0.2,0.22,1.3,0.049,25,155,0.99296,3.74,0.43,10,5
6.1,0.27,0.3,16.7,0.039,49,172,0.99985,3.4,0.45,9.4,5
7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,5
7.7,0.18,0.53,1.2,0.041,42,167,0.9908,3.11,0.44,11.9,5
7.6,0.445,0.44,14.5,0.045,68,212,0.9986,3.48,0.36,10,6
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
6.7,0.14,0.51,4.3,0.028,57,124,0.99176,2.91,0.54,10.7,7
4.9,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,6
6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4,9
6.1,0.29,0.27,1.7,0.024,13,76,0.9893,3.21,0.51,12.6,7
7.3,0.3,0.42,7.35,0.025,51,175,0.9928,3.04,0.32,11.4,6
6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6
7.6,0.48,0.31,9.4,0.046,6,194,0.99714,3.07,0.61,9.4,5
6.4,0.15,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,7
7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5,4
7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,5
7.2,0.2,0.28,1.6,0.028,13,168,0.99203,3.17,1.06,11.5,6
6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
7.1,0.31,0.38,1.2,0.036,10,124,0.9924,3.14,0.44,9.9,6
7.4,0.26,0.29,3.7,0.048,14,73,0.9915,3.06,0.45,11.4,6
7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,6
5.6,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,5
7.7,0.17,0.52,5.9,0.017,21,84,0.9929,3.14,0.4,11.9,7
7,0.23,0.33,1,0.043,46,110,0.99118,3.04,0.65,10.8,6
6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,5
6.4,0.37,0.2,5.6,0.117,61,183,0.99459,3.24,0.43,9.5,5
6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5
7.3,0.26,0.53,12.7,0.047,60.5,164.5,0.9984,3.06,0.45,9.1,6
7,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1,5
6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,5
7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11,7
7.8,0.2,0.24,1.6,0.026,26,189,0.991,3.08,0.74,12.1,7
8.4,0.16,0.33,1.5,0.033,16,98,0.994,3.14,0.42,9.7,6
7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5
5.7,0.28,0.24,17.5,0.044,60,167,0.9989,3.31,0.44,9.4,5
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7
7.4,0.24,0.4,4.3,0.032,9,95,0.992,3.09,0.39,11.1,6
7.7,0.42,0.38,8.1,0.061,49,144,0.9966,3.4,0.58,11,6
6.4,0.19,0.42,2.9,0.032,32,83,0.9908,3.3,0.41,11.7,6
7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,8
6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,6
6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,7
6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6
6.3,0.55,0.45,13,0.047,33,182,0.9974,3.2,0.46,9.2,6
5.6,0.21,0.4,1.3,0.041,81,147,0.9901,3.22,0.95,11.6,8
6.3,0.34,0.27,2.5,0.024,40,152,0.99095,3.35,0.6,11.9,7
6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,7
7.4,0.2,1.66,2.1,0.022,34,113,0.99165,3.26,0.55,12.2,6
6.4,0.15,0.25,7.8,0.05,13,68,0.99394,3.16,0.4,9.9,6
6.3,0.3,0.24,6.6,0.04,38,141,0.995,3.22,0.47,9.5,5
7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5
6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,6
5.6,0.26,0.18,1.4,0.034,18,135,0.99174,3.32,0.35,10.2,6
6.6,0.545,0.04,2.5,0.031,48,111,0.9906,3.14,0.32,11.9,5
6.3,0.29,0.23,14.2,0.037,24,99,0.99528,3.08,0.38,10.6,6
8.9,0.27,0.28,0.8,0.024,29,128,0.98984,3.01,0.35,12.4,6
6.5,0.27,0.26,8.2,0.042,21,133,0.99612,3.43,0.64,9.8,6
6.9,0.23,0.41,8,0.03,30,114,0.99368,3.22,0.54,11,6
5.2,0.31,0.36,5.1,0.031,46,145,0.9897,3.14,0.31,12.4,7
7.5,0.35,0.28,9.6,0.051,26,157,0.9969,3.12,0.53,9.2,6
8.9,0.33,0.34,1.4,0.056,14,171,0.9946,3.13,0.47,9.7,5
7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6
7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,6
6.6,0.32,0.36,8,0.047,57,168,0.9949,3.15,0.46,9.6,5
7.3,0.22,0.37,15.5,0.048,70,203,0.99899,3.25,0.77,9.4,5
5.9,0.27,0.27,5,0.035,14,97,0.99058,3.1,0.33,11.8,7
6.1,0.22,0.38,2.8,0.144,12,65,0.9908,2.95,0.64,11.4,6
8.5,0.23,0.4,9.9,0.036,24,88,0.9951,3.02,0.42,10.5,6
6.7,0.24,0.31,2.3,0.044,37,113,0.99013,3.29,0.46,12.9,6
7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4,5
7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6
6.3,0.28,0.3,3.1,0.039,24,115,0.9942,3.05,0.43,8.6,5
7,0.21,0.31,6,0.046,29,108,0.9939,3.26,0.5,10.8,6
5.7,0.25,0.32,12.2,0.041,43,127,0.99524,3.23,0.53,10.4,7
7.4,0.21,0.3,7.9,0.039,14,118,0.9942,2.96,0.34,10.4,5
7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1,5
6.6,0.4,0.32,1.7,0.035,39,84,0.99096,3.59,0.48,12.7,7
7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6
7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6
5.9,0.37,0.14,6.3,0.036,34,185,0.9944,3.17,0.63,9.8,5
8.3,0.27,0.34,10.2,0.048,50,118,0.99716,3.18,0.51,10.3,5
6.4,0.31,0.5,5.8,0.038,42,111,0.99189,3.18,0.53,11.9,7
6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
5.8,0.32,0.23,1.5,0.033,39,121,0.9887,2.96,0.35,12,5
6.2,0.41,0.22,1.9,0.023,5,56,0.98928,3.04,0.79,13,7
6.4,0.25,0.32,11.3,0.038,69,192,0.99573,3.14,0.5,10.2,6
6.1,0.19,0.25,4,0.023,23,112,0.9923,3.37,0.51,11.6,6
8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,5
7.3,0.18,0.31,17.3,0.055,32,197,1.0002,3.13,0.46,9,6
6.2,0.3,0.32,1.7,0.032,30,130,0.9911,3.28,0.41,11.2,7
7.7,0.27,0.49,3.8,0.037,46,139,0.99116,3.04,0.38,11.6,6
6.6,0.26,0.52,8.2,0.047,52,191,0.99541,3.16,0.47,9.5,6
7.5,0.29,0.36,15.7,0.05,29,124,0.9968,3.06,0.54,10.4,5
7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5
6.4,0.15,0.31,1.1,0.044,25,96,0.9932,3.54,0.51,10.3,6
7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,7
6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5
7.3,0.2,0.37,1.2,0.037,48,119,0.992,3.32,0.49,10.9,6
6.1,0.23,0.27,9.8,0.055,74,134,0.99534,3.16,0.4,10.2,6
7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6
7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,7
7.2,0.17,0.37,6.9,0.059,47,128,0.99322,3.08,0.46,11,7
5.3,0.585,0.07,7.1,0.044,34,145,0.9945,3.34,0.57,9.7,6
6.8,0.21,0.42,1.2,0.045,24,126,0.99234,3.09,0.87,10.9,6
7.7,0.16,0.36,5.9,0.054,25,148,0.99578,3.25,0.54,10.2,6
7.8,0.19,0.32,7.4,0.015,47,124,0.99278,2.99,0.39,11,6
6.2,0.27,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,6
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
7.1,0.34,0.86,1.4,0.174,36,99,0.99288,2.92,0.5,9.3,5
7.4,0.22,0.26,8.8,0.027,23,112,0.9931,2.98,0.41,11.4,6
8,0.3,0.28,5.7,0.044,31,124,0.9948,3.16,0.51,10.2,6
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5
7.8,0.22,0.36,1.4,0.056,21,153,0.993,3.2,0.53,10.4,6
7.7,0.3,0.34,1.2,0.048,4,119,0.99084,3.18,0.34,12.1,6
7.9,0.44,0.37,5.85,0.033,27,93,0.992,3.16,0.54,12.6,7
6.7,0.16,0.37,1.3,0.036,45,125,0.98964,3.19,0.51,12.4,7
8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,5
6.1,0.33,0.3,3,0.036,30,124,0.98922,3.31,0.4,13.1,7
6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5,7
7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,6
8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,6
8,0.26,0.36,2,0.054,30,121,0.992,3.09,0.72,11.6,7
6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,6
7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5
6,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1,4
6.6,0.31,0.07,1.5,0.033,55,144,0.99208,3.16,0.42,10,5
6.1,0.22,0.5,6.6,0.045,30,122,0.99415,3.22,0.49,9.9,6
8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1,4
5.6,0.33,0.28,1.2,0.031,33,97,0.99126,3.49,0.58,10.9,6
6.1,0.35,0.07,1.4,0.069,22,108,0.9934,3.23,0.52,9.2,5
6.1,0.38,0.47,1.4,0.051,59,210,0.99309,3.24,0.5,9.6,5
5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,7
8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,6
6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,6
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
6.3,0.25,0.44,1.7,0.024,36,116,0.98935,3.18,0.4,12.5,6
6,0.13,0.28,5.7,0.038,56,189.5,0.9948,3.59,0.43,10.6,7
7.5,0.24,0.29,1.1,0.046,34,84,0.9902,3.04,0.39,11.45,6
7.7,0.39,0.3,5.2,0.037,29,131,0.9943,3.38,0.44,11,6
6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,5
8.3,0.26,0.41,9.2,0.042,41,162,0.9944,3.1,0.38,12,7
7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,5
6.6,0.28,0.34,0.8,0.037,42,119,0.9888,3.03,0.37,12.5,6
6.9,0.19,0.28,5,0.058,14,146,0.9952,3.29,0.36,9.1,6
7.6,0.27,0.3,9.2,0.018,23,96,0.9938,3.08,0.29,11,6
5.6,0.41,0.24,1.9,0.034,10,53,0.98815,3.32,0.5,13.5,7
6.8,0.45,0.36,5,0.033,28,156,0.991,3.11,0.4,12.4,7
6,0.17,0.36,1.7,0.042,14,61,0.99144,3.22,0.54,10.8,6
5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,8
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6
6.8,0.19,0.58,14.2,0.038,51,164,0.9975,3.12,0.48,9.6,6
5.5,0.24,0.32,8.7,0.06,19,102,0.994,3.27,0.31,10.4,5
8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,6
7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,3
6.7,0.24,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,6
7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,5
7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6
6.4,0.24,0.29,11.4,0.051,32,166,0.9968,3.31,0.45,9.5,5
6.6,0.21,0.6,1.1,0.135,61,144,0.9927,3.12,0.39,9.3,7
7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,5
6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6
6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,7
7.6,0.3,0.38,2.1,0.043,10,98,0.99296,3.17,0.65,11,5
6.1,0.26,0.51,2.2,0.05,61,154,0.9929,3.08,0.6,9.8,6
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
7.7,0.39,0.34,10,0.056,35,178,0.9974,3.26,0.6,10.2,5
7.4,0.19,0.3,12.8,0.053,48.5,212,0.9986,3.14,0.49,9.1,7
6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,4
8.4,0.24,0.49,7.4,0.039,46,108,0.9934,3.03,0.33,11.9,7
6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4
6.8,0.33,0.31,7.4,0.045,34,143,0.99226,3.06,0.55,12.2,6
6.5,0.22,0.72,6.8,0.042,33,168,0.9958,3.12,0.36,9.2,6
6.1,0.28,0.35,12.8,0.048,63,229,0.9975,3.08,0.4,8.9,5
7,0.25,0.29,15.2,0.047,40,171,0.9982,3.22,0.45,9.3,5
6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5
7.3,0.43,0.37,4.6,0.028,17,114,0.991,3.23,0.43,13.2,6
6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6
7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6
5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,6
7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,5
7.9,0.35,0.24,15.6,0.072,44,229,0.99785,3.03,0.59,10.5,6
6.4,0.24,0.28,11.5,0.05,34,163,0.9969,3.31,0.45,9.5,5
6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,5
6.1,0.34,0.29,2.2,0.036,25,100,0.98938,3.06,0.44,11.8,6
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6
6.3,0.27,0.29,12.2,0.044,59,196,0.99782,3.14,0.4,8.8,6
6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,5
6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,6
6.1,0.37,0.46,12,0.042,61,210,0.997,3.17,0.59,9.7,6
6.6,0.38,0.29,2.4,0.136,15,93,0.99336,3.18,0.6,9.5,5
6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5
6.4,0.35,0.21,2.1,0.051,46,171,0.9932,3.16,0.5,9.5,5
6.4,0.16,0.25,1.4,0.057,21,125,0.99091,3.23,0.44,11.1,7
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
6.2,0.24,0.29,13.3,0.039,49,130,0.9952,3.33,0.46,11,8
